src;dst;switch;normal_open;Z_r;Z_x;failed
1;4;CB;0;1.093;0.455;0
4;5;R;0;1.184;0.494;0
1;6;CB;0;2.095;0.873;0
6;7;M;0;3.188;1.329;0
1;8;CB;0;1.093;0.455;0
8;9;R;0;1.002;0.417;0
9;10;M;0;4.403;1.215;0
9;11;R;0;5.642;1.597;0
8;12;M;0;2.89;0.818;0
12;13;R;0;1.514;0.428;1
8;14;M;0;1.238;0.351;0
2;15;CB;0;1.093;0.455;0
15;16;M;0;1.184;0.494;0
2;17;CB;0;2.095;0.873;1
17;18;M;0;3.188;1.329;0
2;19;CB;0;1.093;0.455;0
19;20;RC;0;1.002;0.417;0
20;21;R;0;4.403;1.215;1
20;22;R;0;5.642;1.597;0
19;23;R;0;2.89;0.818;0
23;24;R;0;1.514;0.428;1
19;25;M;0;1.238;0.351;0
3;26;CB;0;1.093;0.455;0
26;27;R;0;1.184;0.494;0
3;28;CB;0;2.095;0.873;0
28;29;M;0;3.188;1.329;1
3;30;CB;0;1.093;0.455;0
30;31;R;0;1.002;0.417;1
31;32;M;0;4.403;1.215;0
31;33;R;0;5.642;1.597;0
30;34;M;0;2.89;0.818;0
34;35;M;0;1.514;0.428;1
30;36;M;0;1.238;0.351;0
5;18;R;1;1.093;0.455;0
13;32;R;1;1.184;0.494;0
10;24;R;1;2.095;0.873;0
11;25;R;1;3.188;1.329;0
7;27;R;1;1.093;0.455;0
14;33;R;1;1.002;0.417;0
16;29;R;1;2.89;0.818;0
21;36;R;1;1.514;0.428;0
22;35;R;1;1.238;0.351;0
