node;subnet;HV_SS;P_s;Q_s;MV_SS;P_d;Q_d;T_Agg;T_Fa;T_Wa;failed;batt;pos_x;pos_y
1;1;1;600;450;0;0;0;0;0;0;0;-1;4;6
2;2;1;600;450;0;0;0;0;0;0;0;-1;0;3
3;3;1;600;450;0;0;0;0;0;0;0;-1;7;2
4;1;0;0;0;1;60;60;0;0;0;0;-1;3;6
5;1;0;0;0;1;40;30;0;0;0;0;-1;1;6
6;1;0;0;0;1;55;55;0;0;0;0;-1;5;6
7;1;0;0;0;1;30;30;0;0;0;0;-1;7;6
8;1;0;0;0;1;20;15;0;0;0;0;-1;4;5
9;1;0;0;0;1;55;55;1;0;0;0;3;3;5
10;1;0;0;0;1;45;45;0;0;0;0;-1;2;5
11;1;0;0;0;1;40;40;0;0;0;0;-1;3;4
12;1;0;0;0;1;35;30;0;0;0;0;-1;5;5
13;1;0;0;0;1;40;30;0;0;0;0;-1;6;5
14;1;0;0;0;1;15;15;0;0;0;0;-1;4;4
15;1;0;0;0;1;60;60;0;0;0;0;-1;0;2
16;1;0;0;0;1;40;30;0;0;0;0;-1;0;0
17;1;0;0;0;1;55;55;0;0;0;0;-1;0;4
18;1;0;0;0;1;30;30;0;0;0;0;-1;0;6
19;1;0;0;0;1;20;15;0;0;0;0;-1;1;3
20;1;0;0;0;1;55;55;0;1;0;1;3;1;2
21;1;0;0;0;1;45;45;0;0;0;0;-1;2;2
22;1;0;0;0;1;40;40;0;0;0;0;-1;1;1
23;1;0;0;0;1;35;30;0;0;0;0;-1;1;4
24;1;0;0;0;1;40;30;0;0;0;0;-1;1;5
25;1;0;0;0;1;15;15;0;0;0;0;-1;3;3
26;1;0;0;0;1;60;60;0;0;0;0;-1;7;3
27;1;0;0;0;1;40;30;0;0;0;0;-1;7;4
28;1;0;0;0;1;55;55;0;0;0;0;-1;7;1
29;1;0;0;0;1;30;30;0;0;0;0;-1;7;0
30;1;0;0;0;1;20;15;0;0;0;0;-1;6;2
31;1;0;0;0;1;55;55;0;1;1;0;3;6;3
32;1;0;0;0;1;45;45;0;0;0;0;-1;6;4
33;1;0;0;0;1;40;40;0;0;0;0;-1;4;3
34;1;0;0;0;1;35;30;0;0;0;0;-1;6;1
35;1;0;0;0;1;40;30;0;0;1;0;3;4;1
36;1;0;0;0;1;15;15;0;0;0;0;-1;4;2
